"price","lastUpdatedHour","shopName","product","counter"
"1,054,000","۶ ساعت پیش","دیجی کالا"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"5,200,000","۶ ساعت پیش","سبز سنتر"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"2,800,000","۶ ساعت پیش","مقداد آی تی"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"5,400,000","۶ ساعت پیش","فروشگاه کالاورد"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"2,020,000","۶ ساعت پیش","لیون کامپیوتر"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
"2,550,000","۶ ساعت پیش","لیون کامپیوتر"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
"5,399,000","۶ ساعت پیش","لیون کامپیوتر"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"990,000","۶ ساعت پیش","فروشگاه اس اس دی بازار"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"5,400,000","۶ ساعت پیش","مقداد آی تی"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"2,650,000","۶ ساعت پیش","فروشگاه کالاورد"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"1,020,000","۶ ساعت پیش","فروشگاه کالاورد"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"1,020,000","۶ ساعت پیش","لیون کامپیوتر"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"999,000","۶ ساعت پیش","فروشگاه اینترنتی شهر فافا"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"2,470,000","۶ ساعت پیش","فروشگاه آرکا آنلاین"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
"2,590,000","۶ ساعت پیش","فروشگاه کالاورد"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"2,390,000","۶ ساعت پیش","مقداد آی تی"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
"5,389,500","۶ ساعت پیش","فروشگاه طراحان"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"4,750,000","۶ ساعت پیش","مقداد آی تی"," MSI GAMING GTX 1070 TI 8GB GDDR5 256bit GRAPHICS CARD <span>  </span>",
"2,500,000","۶ ساعت پیش","فروشگاه اینترنتی شهر فافا"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"1,045,000","۶ ساعت پیش","بروز کالا"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"2,000,000","۶ ساعت پیش","فروشگاه اینترنتی شهر فافا"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
"4,660,000","۶ ساعت پیش","مقداد آی تی"," EVGA GTX 1070 FTW GAMING ACX 3.0 8GB GDDR5X Desktop Graphic Card <span> کارت گرافیک ایی وی جی ای مدل جی تی ایکس 1070 اف تی دبلیو گیمینگ با ظرفیت 8 گیگابایت </span>",
"1,040,000","۶ ساعت پیش","فروشگاه  هدف"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"5,250,000","۶ ساعت پیش","فروشگاه پورومیکس"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"1,050,000","۶ ساعت پیش","آسارایان"," Samsung 860 Evo  SSD Drive 500GB <span> اس اس دی  سامسونگ مدل 860 Evo ظرفیت 500 گیگابایت </span>",
"2,900,000","۶ ساعت پیش","دیجی کالا"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"5,980,000","۶ ساعت پیش","دیجی کالا"," MSI GeForce GTX 1080 GAMING X 8GB Graphics Card <span> کارت گرافیک ام اس آی مدل جی تی ایکس 1080 گیمینگ با حافظه 8 گیگ </span>",
"2,740,000","۶ ساعت پیش","فروشگاه آرکا آنلاین"," AMD Ryzen 7 1700 CPU <span> پردازنده مرکزی ای ام دی مدل Ryzen 7 1700 </span>",
"2,900,000","۶ ساعت پیش","مقداد آی تی"," AMD RYZEN 5 2600 3.4GHz 19MB BOX CPU <span>  </span>",
